name,rest_type,dish_liked,rate,votes,location
Reddy's Restaurant,Casual Dining,"Chicken Biryani, Mutton Roganjosh, Andhra Meal",3.7 /5,141,HSR
Noon's,Quick Bites,"Chicken Biryani, Hyderabadi Dum Biryani, Raita",4.2/5,162,HSR
C Sharp Kitchen,Casual Dining,"Paratha, Tea, Pasta, Omelette, Rolls, Sandwich",3.4/5,50,Church Street
Stuffd,"Takeaway, Delivery","Gol Gappe, Noodles, Lassi, Chocolate Milkshake",3.8 /5,33,Old Airport Road
Slate Cafe,Cafe,"Sandwiches, Pasta, Pizza, Fries, Brownie Shake",4.1 /5,71,JP Nagar
T3H Cafe,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",3.9/5,93,Banashankari
Daniyal's,Casual Dining,"Phirni, Chicken Chaap, Mutton Biryani, Paratha",3.5/5,178,Marathahalli
Swathi Deluxe Restaurant,Casual Dining,"Biryani, Chicken Kebab, Andhra Meal, Lime Soda",3.0/5,74,Shanti Nagar
Despiwich Dragon's Kitchen,Quick Bites,"Sandwiches, Sandwich, Oreo Shake, French Fries",3.8 /5,72,Banaswadi
Vakulaa Veg Restaurant,Quick Bites,"Masala Dosa, Pongal, Tea, Bonda, Filter Coffee",3.9 /5,53,Jayanagar
Sai Santhi Cafe,Quick Bites,"Vada, Set Dosa, Thali, Masala Dosa, Roti, Idli",3.8 /5,69,Marathahalli
Pimento,Quick Bites,"Chicken Grill, Cheese Balls, Vegetable Noodles",3.7/5,95,Electronic City
Layla - The Den Bengaluru,Casual Dining,"Cocktails, Panna Cotta, Lamb Pizza, Pita Bread",3.9 /5,51,Whitefield
Sabari Juice Junction,Beverage Shop,"Sandwiches, Fruit Juices, Oreo Shake, Sandwich",4.1/5,128,Jeevan Bhima Nagar
Dosa Time,Takeaway,"Pizza Dosa, Pav Bhaji Dosa, Cheese Masala Dosa",3.8/5,109,Sarjapur Road
Chawla's 2 Online.com,"Takeaway, Delivery","Tandoori Chicken, Butter Chicken, Shahi Paneer",3.9 /5,41,Basaveshwara Nagar
Utsav,Quick Bites,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav",3.7/5,59,Banashankari
Five Star Chicken,Quick Bites,"Fries, Peri Peri Chicken, Chicken Crisp Burger",3.2 /5,42,Whitefield
Palki Restaurant,Casual Dining,"Murgh Ghee Roast, Biryani, Dal Fry, Fried Rice",2.8 /5,97,Old Airport Road
Mid Night Hunting,"Takeaway, Delivery","Burgers, Chicken Burger, Pasta, Chicken Pizza",3.7 /5,127,Ejipura
The 90s Hash House,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",3.8 /5,63,BTM
Little Cafe,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread",3.7/5,54,Basavanagudi
Rejoice The Taste Of Indore,Casual Dining,"Roti, Jalebi, Pav Bhaji, Panipuri, Fish Tikka",3.0/5,160,Hennur
Taste Of Nawaabs,Casual Dining,"Chicken Tikka, Mutton Rara, Garlic Naan, Roti",3.5/5,324,Banaswadi
Kesar Sweet Shop And Fast Food,Quick Bites,"Chole Bhature, Chaat, Jalebi, Kulfi, Rasgulla",3.9/5,47,Kalyan Nagar
Chaiwala,Quick Bites,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",3.1 /5,53,Koramangala 1st Block
Lassi Shop,Beverage Shop,"Faluda, Sweet Lassi, Mango Lassi, Malai Kulfi",4.0 /5,211,Koramangala 5th Block
Totaram's Paranthas,Quick Bites,"Cheese Paratha, Lassi, Pizza, Paneer Parantha",3.5 /5,140,New BEL Road
Ghar Ka Chulha,Casual Dining,"Paratha, Panneer Butter Masala, Roti, Khichda",3.1/5,117,Sarjapur Road
The Mylapore Cafe,Quick Bites,"Masala Dosa, Pongal, Filter Coffee, Tea, Idli",4.1 /5,121,HSR
Swing,"Casual Dining, Bar","Chicken Wings, Murgh Ghee Roast, Paneer Tikka",3.8/5,201,Indiranagar
Kusum Restaurant,Casual Dining,"Rolls, Chicken Biryani, Lassi, Laccha Paratha",3.0 /5,99,New BEL Road
BBQ@52,Casual Dining,"Salads, Gulab Jamun, Momos, Pasta, Veg Buffet",3.8 /5,64,MG Road
Spotlight - The Golden Tulip,Casual Dining,"Salads, Gulab Jamun, Fish Curry, Lunch Buffet",2.5/5,118,Electronic City
Cafe Bollywood,Quick Bites,"Pav Bhaji, Dahipuri, Chaat, Paratha, Noodles",3.4 /5,25,JP Nagar
Sri Ganesh Juice Junction,Beverage Shop,"Sandwiches, Sandwich, Omelette, Cheese Maggi",4.1/5,212,Koramangala 8th Block
Cashmere Nites,Casual Dining,"Firni, Roganjosh, Phirni, Tabakh Maaz, Wings",3.5/5,74,Koramangala 6th Block
Tandoori Knight,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala",3.0/5,290,Banashankari
Kudil Kerala Kitchen,Quick Bites,"Roast Chicken, Appam, Kadala Curry, Fish Fry",3.8/5,47,Marathahalli
Rasoi,Quick Bites,"Lassi, Panneer Butter Masala, Paratha, Thali",3.3/5,128,Banashankari
Breadworks,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza",2.9 /5,48,Indiranagar
Thiruvithamkoor Restaurant,Quick Bites,"Chicken Curry, Paratha, Fish, Kerala Parotta",3.3 /5,296,Sarjapur Road
Desi Doze,Quick Bites,"Lassi, Paratha, Chaach, Chole Bhature, Thali",3.8/5,147,Whitefield
J Spice,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",3.8/5,59,Banashankari
Rajan's Cafe,Quick Bites,"Coffee, Vegetable Biryani, Masala Chai, Roti",2.8 /5,79,Domlur
Rusbury Fresh Sweets And Savouries,Sweet Shop,"Panipuri, Chaat, Rasmalai, Samosa, Pav Bhaji",4.0/5,71,HSR
Shree Mithai,Quick Bites,"Chaat, Panipuri, Badam Milk, Aloo Tikki Chat",3.7/5,31,HSR
Moolehatti Donne Biryani Mane,Quick Bites,"Mutton Biryani, Chicken Kebab, Donne Biryani",3.6/5,218,HSR
Biting Junction,Quick Bites,"Mutton Curry, Kulcha, Biryani, Chicken Curry",3.9 /5,119,Whitefield
Friends Night Kitchen,"Takeaway, Delivery","Pizza, Burgers, Cheese Burger, Garlic Bread",3.8/5,109,Koramangala 6th Block
Driven Cafe,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza",3.4/5,122,Residency Road
Aroma Spice,Casual Dining,"Sea Food, Cocktails, Fish Curry, Fish Thali",3.9 /5,123,Kalyan Nagar
The Biriyani Pedia,Quick Bites,"Chicken Stew, Ghee Rice, Chai, Beef Biryani",4.0 /5,58,BTM
RR Catering,Quick Bites,"Garlic Naan, Tandoori Chicken, Basmati Rice",3.4 /5,10,MG Road
Chef Master,Quick Bites,"Fish Curry, Appam, Tea, Egg Roast, Sea Food",3.8/5,75,Jayanagar
SL Vadapav,Quick Bites,"Dabeli, Samosa, Tawa Pulav, Cheese Vada Pav",4.0/5,78,Jayanagar
Chatori Tongue,Quick Bites,"Chole Bhature, Jalebi, Noodle Samosa, Chaat",3.9 /5,65,Sarjapur Road
Nukkad,Casual Dining,"Biryani, Pepper Chicken, Ghee Rice, Dal Fry",3.0/5,106,Bellandur
Aasife & Brothers Biriyani Centre,Casual Dining,"Biryani, Fried Rice, Fish, Chicken Lollipop",3.8/5,120,HSR
Chaitanya Cafe,Quick Bites,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar",3.9/5,92,JP Nagar
Cita Pani,Quick Bites,"Peri Peri Chicken, Shawarma, Biryani, Rolls",3.9/5,54,Indiranagar
South Spicy Bites,Casual Dining,"Fish, Tandoori Chicken, Neer Dosa, Sea Food",3.7 /5,68,Basaveshwara Nagar
BTM Ghar ka Khana,Quick Bites,"Matar Paneer, Paratha, Chole Bhature, Lassi",3.7/5,126,BTM
Hyderabad Biryaani Home,Takeaway,"Chicken, Hyderabadi Biryani, Mutton Biryani",3.0/5,137,South Bangalore
Janahaar,Quick Bites,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",3.8/5,70,Banashankari
Haute,Casual Dining,"Wine, Potato Salad, Bibimbap, Risotto, Lamb",4.2/5,69,Indiranagar
Mumbai Spice,Quick Bites,"Paratha, Vada Pav, Thali, Lassi, Manchurian",3.7 /5,100,Malleshwaram
The Sky Lounge - Tamarind Hospitality,Bar,"Momos, Biryani, Beer, Cocktails, Fried Rice",3.7/5,100,Banaswadi
Annapoorni Grand,Casual Dining,"Chicken Biryani, Ragi Mudde, Mutton Biryani",3.9 /5,82,Majestic
Messy's,Quick Bites,"Pizza, Sandwiches, Burgers, Chaat, Panipuri",3.8/5,108,Electronic City
Kuttanad Restaurant,Quick Bites,"Paratha, Sea Food, Fish Biryani, Duck Roast",3.9/5,247,Nagawara
@ Biryani Central,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Dal Fry",2.7 /5,135,Marathahalli
Gorbandh,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat",4.0/5,84,BTM
Navab's,Delivery,"Biryani, Butter Naan, Tikka, Kadhai Paneer",4.0 /5,31,Basaveshwara Nagar
Royal Biriyani House,Casual Dining,"Raita, Roti, Chicken Grill, Mutton Biryani",4.0 /5,223,Kaggadasapura
Delitz Creamvilla Cafe,"Cafe, Dessert Parlor","Waffles, Coffee, Nachos, Rolls, Sandwiches",4.0/5,74,Bellandur
Hotel Moonlight,Casual Dining,"Chicken Grill, Biryani, Ghee Rice, Paratha",3.9 /5,115,Malleshwaram
Siddiqu Kabab Center,Quick Bites,"Rolls, Beef Kabab, Seekh Kebab, Seekh Roll",4.4 /5,178,Richmond Road
Hotel Ayodhya Upahar,Quick Bites,"Coffee, Bonda Soup, Masala Dosa, Neer Dosa",3.9 /5,46,Sadashiv Nagar
Chillikum,Quick Bites,"Paneer Biryani, Vegetable Biryani, Paratha",3.6/5,38,Indiranagar
Delightz,Dessert Parlor,"Waffles, Burgers, Tea, Pasta, Garlic Bread",4.0/5,40,Koramangala 6th Block
Barcode,Bar,"Prawn, French Fries, Draught Beer, Biryani",3.8 /5,170,Koramangala 4th Block
Status,Casual Dining,"Filter Coffee, Crab Soup, Fish, Fried Rice",3.6/5,119,Old Airport Road
Rice and Rolls,Quick Bites,"Rolls, Shawarma Roll, Chicken Grill, Thali",2.7 /5,61,Koramangala 6th Block
Tibbs Frankie,Quick Bites,"Rolls, Masala Veg Frankie, Chicken Frankie",3.5 /5,70,Koramangala 7th Block
Malabar Coastal Cuisine,Food Court,"Paratha, Sea Food, Appam, Malabari Biryani",3.6 /5,68,Koramangala 7th Block
DeliToons,Quick Bites,"Sandwiches, Sandwich, Salads, Shahi Paneer",4.0 /5,126,Koramangala 6th Block
The Blackboard Bakery,"Cafe, Bakery","Pancakes, Sandwich, Salad, Coffee, Burgers",3.7/5,91,Lavelle Road
#refuel,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails",3.7/5,37,Bannerghatta Road
China Hut,Kiosk,"Chinese Bhel, Noodles, Butter Garlic Momos",3.8/5,56,Frazer Town
Sagar Delicacy,Casual Dining,"Handi Biryani, Sandwich, Paneer Manchurian",3.9 /5,88,Ulsoor
Patio - The Resto Cafe,"Cafe, Quick Bites","Chicken Burger, Pasta, Hash Brown, Noodles",3.7/5,73,Banaswadi
Foodies Choice,"Takeaway, Delivery","Rolls, Chicken Roll, Burgers, Egg Sandwich",3.7/5,48,Nagawara
Popular Burger,Quick Bites,"Burgers, Chicken Burger, Chips, Veg Burger",4.1/5,150,Electronic City
The Chariot,Quick Bites,"Masala Dosa, Panneer Butter Masala, Thali",2.9 /5,50,Brigade Road
Bubble Bee,Dessert Parlor,"Bubble Tea, Waffles, Blueberry Cheesecake",3.9 /5,48,HSR
Hokey Pokey Ice Creams,Dessert Parlor,"Cheesecake, Rolls, Coffee, Ice Cream Roll",3.9/5,75,Sarjapur Road
Udupi Aatithya,Quick Bites,"Filter Coffee, Vada, Biryani, Masala Dosa",4.0 /5,90,Bellandur
Namaste Kitchen,Casual Dining,"Jalebi, Chaat, Dal Makhani, Tandoori Roti",3.8/5,172,Koramangala 5th Block
New Khaayaal's Restaurant,Quick Bites,"Chicken, Biryani, Rice, Garlic Naan, Roti",3.0 /5,106,CV Raman Nagar
Choco Cheese,Dessert Parlor,"Waffles, Banana Nutella Crepe, Oreo Shake",NEW,0,BTM
Bikaner Sweets,Sweet Shop,"Chole Bhature, Panipuri, Pav Bhaji, Chaat",3.7 /5,63,Sahakara Nagar
Donut Cafe,"Dessert Parlor, Quick Bites","Donut, Brownie, Hot Chocolate, Sandwiches",3.9/5,163,Electronic City
Swasthi Spice Restaurant,Casual Dining,"Hyderabadi Dum Biryani, Vegetable Biryani",3.4 /5,589,Rajajinagar
BluO,Lounge,"Mocktails, Cocktails, Beer, Nachos, Fries",4.1 /5,402,Malleshwaram
Upahara Bhavan,Quick Bites,"Masala Dosa, Idli, Coffee, Vada, Set Dosa",3.8/5,55,Bannerghatta Road
Slanz Cafe,Cafe,"Burgers, Pizza, Coffee, Cappuccino, Fries",3.6 /5,99,Basaveshwara Nagar
VIHAR Family Restaurant,Casual Dining,"Sea Food, Murgh Ghee Roast, Chicken Handi",4.0 /5,69,Whitefield
Cafe Cosy,Cafe,"Pasta, Pizza, Mocktails, Jalapeno Poppers",4.1/5,114,Jayanagar
Flavor of Tibet,Casual Dining,"Noodles, Chicken Manchow Soup, Veg Momos",4.0 /5,57,Koramangala 5th Block
Treat Kitchen,Quick Bites,"Butter Chicken, Dal Makhani, Malai Kofta",3.8 /5,79,Thippasandra
Hotel Little Imperial,Casual Dining,"Ghee Rice, Chicken Grill, Butter Chicken",3.7/5,91,Kalyan Nagar
Deccan Spice,Casual Dining,"Hyderabadi Biryani, Dum Ka Chicken, Rice",3.5/5,65,JP Nagar
Biriyani Mane,Casual Dining,"Roti, Vegetable Biryani, Chicken Biryani",3.7/5,158,Jayanagar
The Kream Story,"Dessert Parlor, Quick Bites","Waffles, Nutella Ice Cream, French Fries",4.1/5,37,Koramangala 7th Block
Coffee@Arens,Cafe,"Filter Coffee, Cappuccino, Brewed Coffee",3.8/5,77,Banaswadi
Chatori Gali,Casual Dining,"Paratha, Panipuri, Tea, Pav Bhaji, Chaat",2.9/5,51,JP Nagar
Cookie Man,Dessert Parlor,"Chocolate Chip Cookie, Brownie Chocolate",4.0 /5,100,Koramangala 7th Block
TOKI Taco House,Quick Bites,"Chicken Nachos, Chicken Tacos, Rice Bowl",3.6 /5,72,Koramangala 6th Block
Bottoms Up Resto Bar,Bar,"Mocktails, Pizza, Cocktails, Beer, Pasta",3.9/5,248,Kalyan Nagar
Bharathi Refreshments,Quick Bites,"Pongal, Filter Coffee, Idli, Masala Dosa",3.8 /5,52,Wilson Garden
Not Just Waffles,Dessert Parlor,"Waffles, Chocolate Bomb, Brownie Delight",4.1/5,120,Brookefield
Ginseng - Royal Orchid Hotel,Fine Dining,"Fish Chilli, Tea, Lamb, Thai Wok Chicken",4.0/5,170,Old Airport Road
In Wok,Casual Dining,"Chicken Lollipop, Crispy Spinach Chicken",3.6 /5,118,Richmond Road
Lotus Pavilion - ITC Gardenia,Fine Dining,"Salad, Lamb Chops, Beer, Tea, Cappuccino",4.2 /5,178,Richmond Road
1980s Games Cafe,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries",3.4/5,58,Basavanagudi
Arena - Artisanal Brewkitchen,"Pub, Casual Dining","Cocktails, Mocktails, Pizza, Sushi, Beer",4.1/5,177,Indiranagar
Hashtag Kitchen,Casual Dining,"Ghee Rice, Biryani, Chicken Bharta, Roti",3.4/5,51,Marathahalli
Adukkala Restaurant,Casual Dining,"Tea, Shawarma, Egg Roast, Biryani, Appam",3.2/5,123,Banaswadi
The Park East 01,Casual Dining,"Vegetable Biryani, Rolls, Butter Chicken",3.8 /5,53,Race Course Road
Grill Hut,Quick Bites,"Rolls, Chicken Roll, Chicken Baida Roti",3.6 /5,83,Kaggadasapura
Darbar,Bar,"Paneer Tikka, Dal Kichadi, French Fries",3.0/5,98,Banashankari
Cheta's Kitchen,Quick Bites,"Appam, Fish Curry, Fish Fry, Pothichoru",3.9 /5,78,Yelahanka
Cake Box,Bakery,"Chocolate Truffle, Blueberry Cheesecake",3.5/5,98,Koramangala 8th Block
Biryani Junction,Quick Bites,"Raita, Vegetable Biryani, Biryani Combo",2.3/5,298,Bommanahalli
Tandoor-De-Naal,"Takeaway, Delivery","Rolls, Chicken Roll, Paneer Roll, Pasta",3.8 /5,35,BTM
Recipe,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani",4.0/5,808,Kumaraswamy Layout
Bombay Vada Pav Corner,Quick Bites,"Vada Pav, Dabeli, Pav Bhaji, Samosa Pav",4.2 /5,84,Seshadripuram
Daily Bread,"Bakery, Quick Bites","Pasta, Sandwiches, Cappuccino, Sandwich",3.2/5,63,JP Nagar
Mint and Mustard,Casual Dining,"Paneer Tikka, Masala Papad, Garlic Naan",4.0/5,232,Basavanagudi
Just Yum,Quick Bites,"Manchow Soup, Tandoori Chicken, Paratha",3.6 /5,78,Sarjapur Road
Tasting Room - Bengaluru Oota Company,Casual Dining,"Filter Coffee, Curry Crab, Mutton Chops",4.0/5,58,Ulsoor
The Salt Grill - Hilton Bangalore Embassy Golflinks,Fine Dining,"Cocktails, Chicken Satay, Sunday Brunch",4.1 /5,94,Domlur
M.M.A Kabab Rolls & Biriyani Center,Quick Bites,"Shawarma, Alpham Chicken, Chicken Grill",3.6/5,92,Banaswadi
Green Family Bar & Restaurant,Casual Dining,"Tandoori Chicken, Biryani, Masala Papad",3.0/5,57,Electronic City
Grillopia,Quick Bites,"Burgers, Fries, Wood Fire Pizza, Nachos",3.9/5,88,BTM
Zam Zam Darbar,Casual Dining,"Shawarma, Biryani Combo, Chicken Grill",2.9 /5,84,BTM
Chai Kraft,Beverage Shop,"Masala Chai, Coffee, Masala Tea, Maggi",4.1 /5,32,Jayanagar
C. K. Mega Hot Food,Casual Dining,"Chicken Lollipop, Garlic Butter Noodle",4.0 /5,102,BTM
Bowring Kulfi,Dessert Parlor,"Kulfi, Mango Juice, Kesar Pista, Lassi",4.0 /5,100,Residency Road
Hot Attack,Quick Bites,"Chicken Grill, Shawarma, Coconut Juice",3.6/5,88,Electronic City
Salvadores,Fine Dining,"Wine, Salad, Steak, Coffee, Pork Chops",4.4/5,190,MG Road
Kwality Cakes N Bakes,Bakery,"Burgers, Eggless Cake, Red Velvet Cake",3.7/5,92,HSR
The Sugar Factory - Le Meridien,Club,"Cocktails, Chicken Satay, Nachos, Beer",3.9 /5,630,Sankey Road
Mr. Singh Da Dhaba,Quick Bites,"Mughlai Paratha, Laccha Paratha, Rolls",3.6/5,241,Kumaraswamy Layout
Makers of Milkshakes,Beverage Shop,"Vanilla Ice Cream, Chocolate Milkshake",4.2/5,55,Koramangala 5th Block
Sri Udupi Food Hub,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada",4.1/5,176,Jayanagar
Chai Mania,Cafe,"Ginger Tea, Paratha, Poha, Chai, Chaai",2.8/5,67,Marathahalli
Cafe Poetry,Cafe,"Pasta, Maggi, Ice-cream Shake, Burgers",3.7 /5,55,New BEL Road
Mishra's Pedha Big Foods,Dessert Parlor,"Peda, Dhokla, Vada Pav, Samosa, Jalebi",3.9/5,56,Jayanagar
Biryani Affair,Delivery,"Chicken Biryani, Raita, Mutton Biryani",3.5/5,147,HSR
MouthFull Of Cake,Quick Bites,"Cup Cake, Cake Pops, Chocolate Truffle",3.9 /5,57,Basaveshwara Nagar
The Brekkie Shop,Delivery,"Sandwiches, Pasta, Poha, Fruit Parfait",3.8 /5,61,Indiranagar
Gold Line Breadz,"Bakery, Quick Bites","Sandwiches, Sausage Roll, Garlic Bread",3.7/5,53,Kammanahalli
Akkad Bakkad,Casual Dining,"Bhuna Chicken, Mutton Biryani, Paratha",3.9/5,72,Electronic City
Foodies Express,Quick Bites,"Naan, Shawarma, Chicken Grill, Noodles",3.7/5,131,Electronic City
Amigos Kitchen,Quick Bites,"Murgh Patiala, Shawarma, Chicken Grill",3.7/5,64,Banaswadi
Breezy Cow Bar,Beverage Shop,"Milk Shake, Brownie, Belgium Chocolate",4.0/5,96,Kalyan Nagar
Hotel The Shack,Casual Dining,"Mocktails, Butter Chicken, Seekh Kebab",3.9/5,116,Rammurthy Nagar
Sanjeevini Veg,Quick Bites,"Tea, Vada, Fruit Juices, Filter Coffee",3.9/5,57,Electronic City
Srinidhi Upachar,Quick Bites,"Coffee, Vada, Masala Dosa, Gulab Jamun",3.6/5,70,Banaswadi
The Spice Saga,Casual Dining,"Biryani, Chicken Grill, Butter Chicken",3.7/5,124,Kumaraswamy Layout
Punjabi Daawat,Quick Bites,"Lassi, Soya Chaap, Fish, Masala Papad",2.4 /5,221,BTM
Damodar Seth,Casual Dining,"Thali, Fish Fry, Alur Dom, Aalo Bhaja",3.1/5,152,Marathahalli
Terra Bites,"Cafe, Casual Dining","Spaghetti, Hot Chocolate, Coffee, Tea",4.1 /5,65,Koramangala 4th Block
Retro Lounge Bar,Bar,"Pepper Prawns, Fries, Chicken Biryani",3.8/5,108,Ulsoor
The Bahubali,Casual Dining,"Paratha, Kulcha, Biryani, Dal Makhani",3.5/5,151,Marathahalli
Dhaba Bytes,Casual Dining,"Naan, Roti, Shahi Paneer, Shahi Tukda",4.1 /5,134,HSR
The Cheesecake Corner,"Takeaway, Delivery","Blueberry Cheesecake, Oreo Cheesecake",3.7 /5,48,BTM
Foodiesthan,Cafe,"Masala Chai, Garlic Bread, Oreo Shake",3.7/5,59,HSR
Sugar & Spice - Taj MG Road Bengaluru,Dessert Parlor,"Coffee, Chocolate Truffle, Cheesecake",4.0/5,79,MG Road
Northwind,Casual Dining,"Pandi Curry, Khichda, Chicken Biryani",3.9 /5,83,Seshadripuram
Jaisalmer,Casual Dining,"Lunch Buffet, Kheer, Rajasthani Thali",3.7/5,57,St. Marks Road
Tastybites.com,Quick Bites,"Sandwiches, Chaat, Panipuri, Sandwich",3.7/5,82,Brookefield
Chatar Patar,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle",3.7/5,65,Banashankari
Burgundy - Royal Orchid Suites,Casual Dining,"Salads, Naan, Lunch Buffet, Dal Halwa",3.9 /5,104,Whitefield
Fiddler's Green,"Casual Dining, Bar","Chicken Satay, Mocktails, Bruschettas",3.9 /5,75,Kalyan Nagar
The Lobby Lounge - Shangri-La Hotel,Cafe,"Coffee, Masala Tea, Cappuccino, Latte",3.8 /5,56,Vasanth Nagar
Odisha Platter,Quick Bites,"Mutton Thali, Mutton Curry, Veg Thali",3.8/5,294,Marathahalli
Real Fresh Dosa Corner,Quick Bites,"Plain Dosa, Palak Dosa, Mushroom Dosa",4.2/5,253,Brookefield
House Of Seitan,Cafe,"Burgers, Sandwich, Sandwiches, Salads",4.0 /5,38,Indiranagar
Little Onnion,Casual Dining,"Vegetable Biryani, Dum Biryani, Kheer",3.8 /5,134,"ITPL Main Road, Whitefield"
Kettle On,Quick Bites,"Tea, Masala Poha, Chicken Roll, Pasta",3.7/5,110,Electronic City
Parampara - The Veg Kitchen,Quick Bites,"Lassi, Vada Pav, Chole Bhature, Thali",3.7/5,257,Electronic City
Royal Bengal Corner,Quick Bites,"Rolls, Paratha, Panneer Butter Masala",3.8/5,307,Electronic City
Vijayalakshmi Veg,Quick Bites,"Vada, Rava Idli, Masala Dosa, Coffee",3.9/5,99,Jayanagar
Ambur Biryani Point,Quick Bites,"Ambur Biryani, Mutton Biryani, Raita",4.2/5,424,Koramangala 1st Block
Sai Abhiruchi,Casual Dining,"Dum Biryani, Dal Fry, Paneer Biryani",3.8/5,339,BTM
South Tiffins,Quick Bites,"Masala Dosa, Vada, Tea, Coffee, Idli",3.6/5,144,HSR
Retreat Restaurant,Casual Dining,"Tandoori Chicken, Ghee Rice, Dal Fry",3.5/5,86,RT Nagar
Dil Se Punjabi,Casual Dining,"Butter Chicken, Dal Makhani, Biryani",3.0 /5,106,RT Nagar
More Pizza,Quick Bites,"Pizza, Garlic Bread, Chicken Lasagne",3.8/5,46,JP Nagar
Hottey Smokey,Food Court,"Chicken Shashlik, Pasta, Veg Sizzler",3.8/5,81,"ITPL Main Road, Whitefield"
Sri Sai Ram's,Quick Bites,"Chaat, Chips, Dahipuri, Masala Poori",4.2 /5,62,Malleshwaram
The Big Bellyz,Quick Bites,"Momos, Pizza, Nachos, Burgers, Pasta",3.9 /5,105,Malleshwaram
Ma-Arya Family Restaurant,Casual Dining,"Mutton Biryani, Crispy Fried Chicken",3.7/5,61,Basavanagudi
L J Iyengar Bakery,Bakery,"Fruit Cake, Chocolate Cake, Egg Puff",3.9/5,53,HSR
Idli & Dosa Cafe,Quick Bites,"Coffee, Vada, Rava Masala Dosa, Upma",2.6/5,91,HSR
Pait Full,Casual Dining,"Chicken Butter Masala, Donne Biryani",3.8 /5,70,Kaggadasapura
The Dining Table - Sahar Pavillion,"Casual Dining, Bar","Biryani, Salads, Pasta, Cheese Balls",3.7/5,74,Electronic City
Mayura 1989,"Casual Dining, Bar","Biryani, Murgh Ghee Roast, Cocktails",3.7 /5,103,Rajajinagar
Zam Zam Kabab House,Quick Bites,"Biryani, Rumali Roti, Chicken Noodle",3.4 /5,89,Yeshwantpur
Desi Deck,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani",3.9/5,96,Brigade Road
99 Pancakes,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes",4.5 /5,345,Koramangala 5th Block
Little Kitchen,Quick Bites,"Chicken Curry, Red Rice, Fish Curry",3.6 /5,82,Koramangala 1st Block
Laziz Pizza,Quick Bites,"Pizza, Peri Peri Fries, Veg Paprika",3.8 /5,47,Koramangala 7th Block
Iyengar's Inn,Quick Bites,"Curd Rice, Bisi Bele Bhaath, Pongal",4.1 /5,53,Jayanagar
Taj Darbar,Casual Dining,"Chicken Kebab Biryani, Rolls, Raita",3.8 /5,149,Koramangala 5th Block
Kanteen The Eatery,Quick Bites,"Chole Bhature, Pav Bhaji, Misal Pav",3.9/5,78,Bannerghatta Road
Atithi Satkar,Casual Dining,"Vada, Lime Soda, Thali, Masala Dosa",3.7 /5,91,Sanjay Nagar
The Alphaa,Casual Dining,"Lime Soda, Hyderabadi Biryani, Fish",3.8/5,273,Bommanahalli
MDP Coffee House,Quick Bites,"Tea, Kharabath, Filter Coffee, Idli",3.8 /5,38,Jayanagar
Bunt's Biriyani Palace,Quick Bites,"Neer Dosa, Sea Food, Pepper Chicken",3.0/5,213,Banashankari
Fusion Tadka,Delivery,"Gulab Jamun, Lassi, Manchurian Roll",3.7/5,34,Bellandur
The Mughal's,Quick Bites,"Chicken Biryani, Lemon Chicken Roll",3.7/5,89,Frazer Town
K.G.N Kabbab Corner,Quick Bites,"Mutton Biryani, Rolls, Chicken Roll",4.0/5,83,Kalyan Nagar
The Urban Roof,Casual Dining,"Chicken Burger, Pasta, Garlic Bread",3.9/5,77,Kalyan Nagar
Godavari Delights,Quick Bites,"Biryani, Andhra Meal, Chicken Curry",3.9/5,407,Electronic City
Deejas Kitchen,"Takeaway, Delivery","Pothichoru, Roast Chicken, Fish Fry",3.9/5,73,Bannerghatta Road
Punjabi Food Point,Quick Bites,"Aloo Paratha, Panneer Butter Masala",3.3/5,200,Bellandur
Shreedevi,Quick Bites,"Andhra Meal, Biryani, Chicken Curry",3.7/5,130,Indiranagar
Taipan,Casual Dining,"Noodles, Dragon Chicken, Chop Suey",3.5/5,126,Frazer Town
Kya Khaoge,Delivery,"Bhatti Chicken, Chole, Shahi Tukda",3.8 /5,69,Old Airport Road
Ashirvaad Grand,Quick Bites,"Masala Dosa, Panneer Butter Masala",4.0 /5,115,BTM
